Tahun,Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Kesakitan,Stunting (%),IKP,IKP Ranking
2019,lumajang - padang,4,92,1391,5712,0,2526,600,120,1326,4750,5413,537
2019,lumajang - sukodono,5,35,1096,3656,0,2271,100,119,1879,3742,6709,208
2019,lumajang - kedungjajang,5,31,1217,3172,3,7700,600,116,1642,4158,6128,405
2019,lumajang - jatiroto,5,46,1299,4147,0,0,100,116,1731,4438,6648,230
2019,lumajang - randuagung,5,30,1255,4131,2,3431,419,121,1956,4287,6501,287
2019,lumajang - klakah,5,42,1184,4819,0,5045,419,121,1419,4043,6240,376
2019,lumajang - ranuyoso,5,20,1253,2552,392,4917,200,118,1370,4278,6640,233
2019,lumajang - sumbersuko,6,36,1177,1519,0,0,419,126,693,4020,7637,15
2019,jember - jombang,5,18,1079,4740,3,5185,600,83,1439,4090,6894,149
2019,jember - kencong,5,20,1338,5638,0,5252,1200,95,947,5072,6817,175
2019,jember - sumberbaru,4,27,1204,7849,1,6690,583,92,1812,4564,5965,453
2019,jember - gumukmas,5,16,1191,4137,0,6616,419,86,1691,4515,6497,289
2019,jember - umbulsari,5,32,989,7153,0,6036,600,88,911,3749,6584,251
2019,jember - tanggul,5,23,1194,3982,0,3891,600,79,1580,4527,6875,158
2019,jember - semboro,5,29,1240,7537,0,6444,583,83,1341,4700,6145,399
2019,jember - puger,5,24,1197,4187,5,4368,600,84,1274,4538,6863,161
2019,jember - bangsalsari,5,34,1282,3540,33,4837,583,86,1429,4862,6492,291
2019,jember - balung,5,24,1217,5446,0,4154,583,81,1514,4613,6703,210
2019,jember - wuluhan,5,20,1214,3484,0,6653,500,78,1483,4601,6560,263
2019,jember - ambulu,5,29,1103,5437,1,8177,419,86,1340,4183,6128,406
2019,jember - rambipuji,5,31,1338,4575,0,4560,300,84,0,5072,6917,145
2019,jember - panti,5,17,1206,4807,16,4598,583,76,1396,4571,6879,153
2019,jember - sukorambi,5,21,1259,2921,4,6362,583,79,1524,4773,6575,257
2019,jember - jenggawah,6,22,1212,3074,1,2899,1200,85,1237,4594,7380,43
2019,jember - ajung,6,26,1079,6001,3,0,300,75,639,4091,7659,14
2019,jember - tempurejo,5,19,1284,4696,17,3578,300,79,1175,4870,6922,143
2019,jember - kaliwates,3,150,989,5835,0,5535,1500,80,1533,3749,4425,595
2019,jember - patrang,4,90,989,5765,0,6012,600,77,1488,3749,5338,550
2019,jember - sumbersari,4,110,989,4548,0,5667,900,90,1479,3749,5137,564
2019,jember - arjasa,5,41,1312,3624,0,5685,1700,83,1326,4976,6533,273
2019,jember - mumbulsari,5,24,1336,3462,8,6379,419,84,1524,5066,6317,355
2019,jember - pakusari,4,45,1333,3051,278,7670,583,86,1267,5054,5809,480
2019,jember - jelbuk,5,28,1308,4356,573,5939,583,86,1594,4958,6126,407
2019,jember - mayang,5,20,989,5721,1,5283,300,88,1424,3749,6775,190
2019,jember - kalisat,4,26,1190,2466,125,8321,100,79,1603,4512,6084,422
2019,jember - ledokombo,5,29,1219,5370,10,7872,600,86,1281,4622,6132,403
2019,jember - sukowono,5,23,1314,3825,5,4734,600,86,1094,4980,6796,183
2019,jember - silo,5,44,1320,1899,21,5123,419,76,1069,5006,6430,314
2019,jember - sumberjambe,5,33,1300,5397,197,5144,900,86,1370,4927,6363,337
2019,banyuwangi - pesanggaran,5,34,965,6072,53,2174,583,210,1123,3742,6846,169
2019,banyuwangi - bangorejo,5,35,1029,3868,4,7253,1100,210,1130,3990,6316,356
2019,banyuwangi - purwoharjo,5,21,900,1519,0,6761,871,214,936,3488,6990,113
2019,banyuwangi - tegaldlimo,5,30,840,1697,0,6118,1200,207,1171,3256,6970,119
2019,banyuwangi - muncar,4,73,901,2521,35,7547,600,203,1267,3494,5558,522
2019,banyuwangi - cluring,5,26,1101,455,5,8951,1300,213,1155,4267,6444,311
2019,banyuwangi - gambiran,5,28,872,402,0,7941,1700,209,1043,3381,6986,116
2019,banyuwangi - srono,5,31,1023,1490,0,6186,600,212,1295,3964,6532,274
2019,banyuwangi - genteng,4,45,949,1534,120,8775,600,215,1180,3679,5948,455
2019,banyuwangi - glenmore,5,31,933,621,6,7739,1200,205,1188,3617,6683,215
2019,banyuwangi - kalibaru,5,39,1101,1871,0,6331,871,203,1220,4267,6352,342
2019,banyuwangi - singojuruh,5,19,1092,1311,2,7912,871,205,1188,4235,6574,258
2019,banyuwangi - rogojampi,5,36,899,1559,1,6655,900,210,1301,3484,6580,253
2019,banyuwangi - kabat,4,29,1101,1562,33,9466,871,216,1110,4267,6118,410
2019,banyuwangi - glagah,5,21,897,2124,3,9159,900,210,1162,3479,6513,283
2019,banyuwangi - banyuwangi,4,80,814,4295,1,4691,1200,209,1060,3154,6054,430
2019,banyuwangi - giri,5,17,1085,3402,0,3512,200,213,1654,4208,6753,195
2019,banyuwangi - wongsorejo,5,18,814,4208,9,8667,1000,201,1201,3154,6616,240
2019,banyuwangi - songgon,5,20,1101,2555,13,9798,1200,213,1050,4267,6297,360
2019,banyuwangi - sempu,5,30,954,1192,0,8632,600,208,1316,3699,6291,363
2019,banyuwangi - kalipuro,5,59,814,3606,9,806,1200,203,1426,3154,6986,115
2019,banyuwangi - siliragung,5,27,814,4321,40,6109,583,211,1355,3154,6595,248
2019,banyuwangi - tegalsari,5,24,1037,1467,0,5518,1200,202,1137,4021,7013,108
2019,banyuwangi - licin,5,16,1101,2217,0,4316,671,216,1366,4267,6949,132
,,,,,,,,,,,,,
2019,bondowoso - maesan,5,15,1617,3375,2,5322,900,96,1315,5987,6568,261
2019,bondowoso - tamanan,5,16,1692,2307,5,6343,671,84,1426,6264,6324,350
2019,bondowoso - tlogosari,5,11,1606,3391,38,6900,900,90,1455,5944,6388,326
2019,bondowoso - sukosari,5,5,1423,2304,0,5441,300,87,1484,5269,6842,170
2019,bondowoso - pujer,5,9,1564,3560,3,7574,1500,89,1433,5793,6539,272
2019,bondowoso - grujugan,5,15,1534,2092,1,8005,900,92,649,5681,6627,237
2019,bondowoso - curahdami,5,14,1630,3680,39,7747,671,91,1093,6034,6227,380
2019,bondowoso - tenggarang,5,14,1294,3739,15,6522,600,101,1162,4792,6688,214
2019,bondowoso - wonosari,5,14,1643,2162,0,6999,1200,86,1333,6083,6506,286
2019,bondowoso - tapen,5,8,1570,2154,2,5517,671,92,1228,5814,6805,176
2019,bondowoso - bondowoso,4,51,1294,2901,0,6627,671,91,1447,4792,5933,460
2019,bondowoso - wringin,6,6,1447,1481,217,4446,1700,91,1182,5359,7430,36
2019,bondowoso - tegalampel,5,11,1643,3579,0,6088,1200,91,1197,6082,6647,232
2019,bondowoso - klabang,5,4,1497,4768,191,4351,800,97,1469,5543,6827,173
2019,bondowoso - cermee,5,6,1690,2717,10,4993,1000,80,1136,6257,6911,146
2019,bondowoso - prajekan,5,7,1433,4981,63,6029,800,98,1264,5305,6674,217
2019,bondowoso - pakem,5,7,1497,3918,43,5807,600,85,1483,5543,6615,241
2019,bondowoso - sumberwringin,5,9,1464,4794,307,5500,900,83,1387,5422,6638,234
2019,bondowoso - sempol,5,21,1527,3948,2,5201,900,90,1157,5655,6598,245
2019,bondowoso - binakal,5,8,1453,2823,0,4928,800,89,1292,5378,6987,114
2019,bondowoso - taman krocok,5,8,1447,4504,0,7983,1200,87,1234,5359,6543,270
2019,bondowoso - botolinggo,4,1,1527,10000,364,10000,1200,89,1249,5654,5775,487
2019,bondowoso - jambesari darus sholah,5,15,1707,2301,0,5928,600,92,1501,6319,6320,353
2019,situbondo - jatibanteng,5,14,1454,2611,61,8036,600,107,1367,4207,6414,321
2019,situbondo - besuki,5,41,1504,3586,3,5671,400,114,1090,4351,6156,396
2019,situbondo - suboh,5,19,1377,3267,6,5246,900,115,1274,3985,6875,156
2019,situbondo - mlandingan,5,12,1393,5077,2,6802,100,109,1066,4032,6509,285
2019,situbondo - kendit,5,16,1563,3717,10,6523,800,112,1152,4523,6557,264
2019,situbondo - panarukan,5,22,1160,5345,0,7023,800,110,1234,3358,6617,239
2019,situbondo - situbondo,5,50,1155,3805,5,3920,800,100,1121,3343,6693,213
2019,situbondo - panji,5,33,1170,8955,0,2791,900,117,1538,3387,6638,235
2019,situbondo - mangaran,6,16,1451,4847,2,2157,1200,105,1172,4200,7353,46
2019,situbondo - kapongan,5,16,1398,4137,2,3994,1200,109,1069,4045,7227,62
2019,situbondo - arjasa,5,10,1256,4126,195,5677,600,105,1595,3634,6804,178
2019,situbondo - jangkar,5,15,1487,3098,0,6310,756,119,1756,4304,6486,297
2019,situbondo - asembagus,5,21,1190,3295,51,5148,1000,106,1657,3445,6927,141
2019,situbondo - banyuputih,5,15,1386,5382,72,4896,756,109,1119,4011,6858,165
2019,situbondo - sumbermalang,4,78,1563,3649,26,4852,800,106,1314,4523,5521,526
2019,situbondo - banyuglugur,5,19,1155,2957,0,6536,600,107,1238,3343,6884,152
2019,situbondo - bungatan,5,10,1560,4255,0,6001,800,116,1181,4514,6702,211
2019,probolinggo - sukapura,4,69,1795,3141,249,2705,756,139,1386,4202,5769,491
2019,probolinggo - sumber,4,57,2251,3655,398,6554,1700,128,1223,5268,5303,553
2019,probolinggo - kuripan,4,27,2251,4169,132,4473,900,132,1424,5268,5939,457
2019,probolinggo - bantaran,4,31,2385,4291,0,4617,900,128,1515,5581,5721,499
2019,probolinggo - leces,4,38,1928,5991,0,3974,900,124,1444,4512,5994,447
2019,probolinggo - banyuanyar,4,19,2050,2522,0,7393,1200,134,1420,4798,6082,423
2019,probolinggo - tiris,4,17,2285,3029,4,5007,400,131,1251,5347,6093,415
2019,probolinggo - krucil,4,12,2240,3480,402,4782,100,130,1603,5243,5883,464
2019,probolinggo - gading,4,28,2096,5121,46,6177,300,137,1011,4906,5737,496
2019,probolinggo - pakuniran,5,30,1993,4230,518,6143,756,129,0,4665,6250,373
2019,probolinggo - kotaanyar,4,38,2355,2439,0,4042,600,126,833,5512,6023,440
2019,probolinggo - paiton,4,48,2028,4502,0,4470,1100,122,1184,4747,5910,462
2019,probolinggo - besuk,5,28,2323,3255,0,2674,750,128,1129,5436,6322,351
2019,probolinggo - kraksaan,4,62,1795,3091,1,3592,1200,124,1585,4202,5938,459
2019,probolinggo - krejengan,5,26,2055,2544,13,5427,600,129,1132,4809,6192,389
2019,probolinggo - pejarakan,3,45,2090,6116,0,10000,600,130,1315,4891,4751,584
2019,probolinggo - maron,5,23,2294,4889,0,2425,750,135,1337,5368,6264,370
2019,probolinggo - gending,4,70,1986,3886,0,4041,750,124,1195,4648,5504,529
2019,probolinggo - dringu,3,142,2010,3848,5,4658,1200,133,1380,4704,3972,603
